i,a,b,b - a,k,x1,x2,y1,y2
1,6,9.9,3.9,0.0,7.9451,7.9549,-0.8165,-0.817
2,7.9451,9.9,1.9549,1.995,8.9177,8.9275,-0.8423,-0.8418
3,7.9451,8.9275,0.9824,1.99,8.4314,8.4412,-0.8401,-0.8405
4,8.4314,8.9275,0.4961,1.9802,8.6745,8.6843,-0.8458,-0.8459
5,8.6745,8.9275,0.2529,1.9613,8.7961,8.8059,-0.8456,-0.8455
6,8.6745,8.8059,0.1314,1.9254,8.7353,8.7451,-0.846,-0.846
7,8.6745,8.7451,0.0706,1.8612,8.7049,8.7147,-0.846,-0.846
8,8.7049,8.7451,0.0402,1.7562,8.7201,8.7299,-0.846,-0.846
9,8.7201,8.7451,0.025,1.6079,8.7277,8.7375,-0.846,-0.846
10,8.7201,8.7375,0.0174,1.4367,8.7239,8.7337,-0.846,-0.846
11,8.7201,8.7337,0.0136,1.2794,8.722,8.7318,-0.846,-0.846
12,8.7201,8.7318,0.0117,1.1624,8.7211,8.7309,-0.846,-0.846
13,8.7211,8.7318,0.0107,1.0884,8.7215,8.7313,-0.846,-0.846
14,8.7215,8.7318,0.0103,1.0462,8.7218,8.7316,-0.846,-0.846
15,8.7218,8.7318,0.01,1.0237,8.7219,8.7317,-0.846,-0.846
