i,a,b,b - a,k,x1,x2,y1,y2
1,0,1,1,0.0,0.382,0.618,5.4744,7.8386
2,0,0.618,0.618,1.618,0.2361,0.382,5.1487,5.4744
3,0,0.382,0.382,1.618,0.1459,0.2361,5.2837,5.1487
4,0.1459,0.382,0.2361,1.618,0.2361,0.2918,5.1487,5.1893
5,0.1459,0.2918,0.1459,1.618,0.2016,0.2361,5.1717,5.1487
6,0.2016,0.2918,0.0902,1.618,0.2361,0.2574,5.1487,5.1526
7,0.2016,0.2574,0.0557,1.618,0.2229,0.2361,5.1533,5.1487
8,0.2229,0.2574,0.0344,1.618,0.2361,0.2442,5.1487,5.1485
9,0.2361,0.2574,0.0213,1.6181,0.2442,0.2492,5.1485,5.1494
10,0.2361,0.2492,0.0132,1.618,0.2411,0.2442,5.1483,5.1485
11,0.2361,0.2442,0.0081,1.6182,0.2392,0.2411,5.1484,5.1483
12,0.2392,0.2442,0.005,1.6176,0.2411,0.2423,5.1483,5.1484
13,0.2392,0.2423,0.0031,1.619,0.2404,0.2411,5.1483,5.1483
14,0.2404,0.2423,0.0019,1.6154,0.2411,0.2415,5.1483,5.1483
15,0.2404,0.2415,0.0012,1.625,0.2408,0.2411,5.1483,5.1483
16,0.2404,0.2411,0.0007,1.6,0.2407,0.2408,5.1483,5.1483
17,0.2407,0.2411,0.0004,1.6667,0.2408,0.2409,5.1483,5.1483
