i,a,b,b - a,k,x1,x2,y1,y2
1,0.5,2.5,2.0,0.0,1.2639,1.7361,1.0992,0.4012
2,1.2639,2.5,1.2361,1.618,1.7361,2.0279,0.4012,0.1986
3,1.7361,2.5,0.7639,1.618,2.0279,2.2082,0.1986,0.1604
4,2.0279,2.5,0.4721,1.618,2.2082,2.3197,0.1604,0.1699
5,2.0279,2.3197,0.2918,1.618,2.1393,2.2082,0.1671,0.1604
6,2.1393,2.3197,0.1803,1.618,2.2082,2.2508,0.1604,0.161
7,2.1393,2.2508,0.1115,1.618,2.1819,2.2082,0.1618,0.1604
8,2.1819,2.2508,0.0689,1.618,2.2082,2.2245,0.1604,0.1602
9,2.2082,2.2508,0.0426,1.618,2.2245,2.2345,0.1602,0.1603
10,2.2082,2.2345,0.0263,1.618,2.2183,2.2245,0.1602,0.1602
11,2.2183,2.2345,0.0163,1.618,2.2245,2.2283,0.1602,0.1602
12,2.2183,2.2283,0.01,1.618,2.2221,2.2245,0.1602,0.1602
