i,x1,x2,x3,x3 - x1,k,y1,y2,y3
1,-0.5,0.0,0.5,1.0,0.0,6.6562,1.0,1.3438
2,0.0,0.2214,0.5,0.5,2.0,1.0,0.9731,1.3438
3,0.0,0.1316,0.2214,0.2214,2.2588,1.0,0.901,0.9731
4,0.0,0.1193,0.1316,0.1316,1.6816,1.0,0.8983,0.901
5,0.0,0.112,0.1193,0.1193,1.103,1.0,0.8977,0.8983
6,0.0,0.1107,0.112,0.112,1.0651,1.0,0.8976,0.8977
7,0.0,0.1101,0.1107,0.1107,1.0122,1.0,0.8976,0.8976
8,0.0,0.1099,0.1101,0.1101,1.0056,1.0,0.8976,0.8976
9,0.0,0.1099,0.1099,0.1099,1.0013,1.0,0.8976,0.8976
10,0.0,0.1099,0.1099,0.1099,1.0005,1.0,0.8976,0.8976
11,0.0,0.1099,0.1099,0.1099,1.0001,1.0,0.8976,0.8976
12,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
13,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
14,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
15,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
16,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
17,0.0,0.1099,0.1099,0.1099,1.0,1.0,0.8976,0.8976
