i,a,b,b - a,k,x1,x2,y1,y2
0,-0.5,0.5,1.0,0.0,-0.118,0.118,1.4099,0.8981
1,-0.118,0.5,0.618,1.618,0.118,0.2639,0.8981,1.0308
2,-0.118,0.2639,0.382,1.618,0.0279,0.118,0.9526,0.8981
3,0.0279,0.2639,0.2361,1.618,0.118,0.1738,0.8981,0.9245
4,0.0279,0.1738,0.1459,1.618,0.0836,0.118,0.9028,0.8981
5,0.0836,0.1738,0.0902,1.618,0.118,0.1393,0.8981,0.9037
6,0.0836,0.1393,0.0557,1.618,0.1049,0.118,0.8978,0.8981
7,0.0836,0.118,0.0344,1.618,0.0967,0.1049,0.8989,0.8978
8,0.0967,0.118,0.0213,1.6181,0.1049,0.1099,0.8978,0.8976
9,0.1049,0.118,0.0132,1.618,0.1099,0.113,0.8976,0.8977
10,0.1049,0.113,0.0081,1.6182,0.108,0.1099,0.8977,0.8976
11,0.108,0.113,0.005,1.6176,0.1099,0.1111,0.8976,0.8976
12,0.108,0.1111,0.0031,1.619,0.1092,0.1099,0.8976,0.8976
13,0.1092,0.1111,0.0019,1.6154,0.1099,0.1103,0.8976,0.8976
14,0.1092,0.1103,0.0012,1.625,0.1096,0.1099,0.8976,0.8976
15,0.1096,0.1103,0.0007,1.6,0.1099,0.1101,0.8976,0.8976
16,0.1096,0.1101,0.0004,1.6667,0.1098,0.1099,0.8976,0.8976
